time,reference,output,u_sat,u_unsat,integrator,disturbance
0.426,3,1.02058,2.75049,2.75049,-1.71117,0
0.427,3,1.02231,2.74956,2.74956,-1.70919,0
0.428,3,1.02403,2.74863,2.74863,-1.70721,0
0.429,3,1.02576,2.74771,2.74771,-1.70523,0
0.43,3,1.02748,2.7468,2.7468,-1.70326,0
0.431,3,1.0292,2.74589,2.74589,-1.70129,0
0.432,3,1.03091,2.74499,2.74499,-1.69932,0
0.433,3,1.03262,2.74409,2.74409,-1.69735,0
0.434,3,1.03434,2.7432,2.7432,-1.69538,0
0.435,3,1.03604,2.74231,2.74231,-1.69341,0
0.436,3,1.03775,2.74143,2.74143,-1.69145,0
0.437,3,1.03945,2.74055,2.74055,-1.68949,0
0.438,3,1.04115,2.73968,2.73968,-1.68753,0
0.439,3,1.04285,2.73881,2.73881,-1.68557,0
0.44,3,1.04454,2.73794,2.73794,-1.68361,0
0.441,3,1.04624,2.73709,2.73709,-1.68166,0
0.442,3,1.04793,2.73623,2.73623,-1.6797,0
0.443,3,1.04961,2.73539,2.73539,-1.67775,0
0.444,3,1.0513,2.73454,2.73454,-1.6758,0
0.445,3,1.05298,2.73371,2.73371,-1.67385,0
0.446,3,1.05466,2.73287,2.73287,-1.6719,0
0.447,3,1.05634,2.73204,2.73204,-1.66996,0
0.448,3,1.05801,2.73122,2.73122,-1.66801,0
0.449,3,1.05969,2.7304,2.7304,-1.66607,0
0.45,3,1.06136,2.72959,2.72959,-1.66413,0
0.451,3,1.06302,2.72878,2.72878,-1.66219,0
0.452,3,1.06469,2.72798,2.72798,-1.66026,0
0.453,3,1.06635,2.72718,2.72718,-1.65832,0
0.454,3,1.06801,2.72638,2.72638,-1.65639,0
0.455,3,1.06967,2.72559,2.72559,-1.65446,0
0.456,3,1.07132,2.72481,2.72481,-1.65253,0
0.457,3,1.07298,2.72403,2.72403,-1.6506,0
0.458,3,1.07463,2.72325,2.72325,-1.64867,0
0.459,3,1.07627,2.72248,2.72248,-1.64674,0
0.46,3,1.07792,2.72171,2.72171,-1.64482,0
0.461,3,1.07956,2.72095,2.72095,-1.6429,0
0.462,3,1.0812,2.72019,2.72019,-1.64098,0
0.463,3,1.08284,2.71944,2.71944,-1.63906,0
0.464,3,1.08448,2.71869,2.71869,-1.63714,0
0.465,3,1.08611,2.71795,2.71795,-1.63523,0
0.466,3,1.08774,2.71721,2.71721,-1.63331,0
0.467,3,1.08937,2.71647,2.71647,-1.6314,0
0.468,3,1.091,2.71574,2.71574,-1.62949,0
0.469,3,1.09262,2.71501,2.71501,-1.62758,0
0.47,3,1.09424,2.71429,2.71429,-1.62567,0
0.471,3,1.09586,2.71357,2.71357,-1.62377,0
0.472,3,1.09748,2.71286,2.71286,-1.62186,0
0.473,3,1.09909,2.71215,2.71215,-1.61996,0
0.474,3,1.10071,2.71145,2.71145,-1.61806,0
0.475,3,1.10232,2.71075,2.71075,-1.61616,0
0.476,3,1.10392,2.71005,2.71005,-1.61426,0
0.477,3,1.10553,2.70936,2.70936,-1.61237,0
0.478,3,1.10713,2.70867,2.70867,-1.61047,0
0.479,3,1.10873,2.70799,2.70799,-1.60858,0
0.48,3,1.11033,2.70731,2.70731,-1.60669,0
0.481,3,1.11193,2.70663,2.70663,-1.6048,0
0.482,3,1.11352,2.70596,2.70596,-1.60291,0
0.483,3,1.11511,2.7053,2.7053,-1.60102,0
0.484,3,1.1167,2.70463,2.70463,-1.59914,0
0.485,3,1.11829,2.70398,2.70398,-1.59726,0
0.486,3,1.11988,2.70332,2.70332,-1.59537,0
0.487,3,1.12146,2.70267,2.70267,-1.59349,0
0.488,3,1.12304,2.70203,2.70203,-1.59162,0
0.489,3,1.12462,2.70138,2.70138,-1.58974,0
0.49,3,1.12619,2.70074,2.70074,-1.58786,0
0.491,3,1.12777,2.70011,2.70011,-1.58599,0
0.492,3,1.12934,2.69948,2.69948,-1.58412,0
0.493,3,1.13091,2.69885,2.69885,-1.58225,0
0.494,3,1.13248,2.69823,2.69823,-1.58038,0
0.495,3,1.13404,2.69761,2.69761,-1.57851,0
0.496,3,1.1356,2.697,2.697,-1.57664,0
0.497,3,1.13717,2.69639,2.69639,-1.57478,0
0.498,3,1.13872,2.69578,2.69578,-1.57292,0
0.499,3,1.14028,2.69518,2.69518,-1.57106,0
0.5,3,1.14183,2.69458,2.69458,-1.5692,0
0.501,3,1.14339,2.69399,2.69399,-1.56734,0
0.502,3,1.14494,2.6934,2.6934,-1.56548,0
